date	name	return
2026-01-31T00:00:00	Australian Shares	2.0500
2026-01-31T00:00:00	International Shares	0.0200
2026-01-31T00:00:00	International Shares - Indexed	-2.7400
2026-01-31T00:00:00	Bonds – Indexed	0.2600
2026-01-31T00:00:00	Australian Shares – Indexed	1.6700
2026-01-31T00:00:00	Defensive	0.3700
2026-01-31T00:00:00	Indexed Defensive	0.2800
2026-01-31T00:00:00	SRI - Defensive	0.2800
2026-01-31T00:00:00	High Growth	0.8400
2026-01-31T00:00:00	Indexed High Growth	0.4500
2026-01-31T00:00:00	SRI - High Growth	-0.0700
2026-01-31T00:00:00	Indexed Growth 	0.7000
2026-01-31T00:00:00	Indexed Conservative	0.5200
2026-01-31T00:00:00	Indexed Stable	0.3900
2025-12-31T00:00:00	Stable	0.3500
2025-12-31T00:00:00	Conservative	0.4800
2025-12-31T00:00:00	SRI - Balanced	0.1400
2025-12-31T00:00:00	Indexed Balanced	0.3700
2025-12-31T00:00:00	Balanced	0.5500
2025-12-31T00:00:00	Growth	0.6000
2025-12-31T00:00:00	Cash	0.3300
2025-12-31T00:00:00	Bonds	-0.2600
2025-12-31T00:00:00	Australian Shares	0.8500
2025-12-31T00:00:00	International Shares	0.3900
2025-12-31T00:00:00	International Shares - Indexed	-0.8700
2025-12-31T00:00:00	Bonds – Indexed	-0.4000
2025-12-31T00:00:00	Australian Shares – Indexed	1.2700
2025-12-31T00:00:00	Defensive	0.1800
2025-12-31T00:00:00	Indexed Defensive	0.1300
2025-12-31T00:00:00	SRI - Defensive	0.0300
2025-12-31T00:00:00	High Growth	0.4900
2025-12-31T00:00:00	Indexed High Growth	0.4300
2025-12-31T00:00:00	SRI - High Growth	0.0900
2025-12-31T00:00:00	Indexed Growth 	0.4400
2025-12-31T00:00:00	Indexed Conservative	0.2300
2025-12-31T00:00:00	Indexed Stable	0.1200
2025-12-31T00:00:00	Stable	0.3500
2025-12-31T00:00:00	Conservative	0.4800
2025-12-31T00:00:00	SRI - Balanced	0.1400
2025-12-31T00:00:00	Indexed Balanced	0.3700
2025-12-31T00:00:00	Balanced	0.5500
2025-12-31T00:00:00	Growth	0.6000
2025-12-31T00:00:00	Cash	0.3300
2025-12-31T00:00:00	Bonds	-0.2600
2025-12-31T00:00:00	Australian Shares	0.8500
2025-12-31T00:00:00	International Shares	0.3900
2025-12-31T00:00:00	International Shares - Indexed	-0.8700
2025-12-31T00:00:00	Bonds – Indexed	-0.4000
2025-12-31T00:00:00	Australian Shares – Indexed	1.2700
2025-12-31T00:00:00	Defensive	0.1800
2025-12-31T00:00:00	Indexed Defensive	0.1300
2025-12-31T00:00:00	SRI - Defensive	0.0300
2025-12-31T00:00:00	High Growth	0.4900
2025-12-31T00:00:00	Indexed High Growth	0.4300
2025-12-31T00:00:00	SRI - High Growth	0.0900
2025-12-31T00:00:00	Indexed Growth 	0.4400
2025-12-31T00:00:00	Indexed Conservative	0.2300
2025-12-31T00:00:00	Indexed Stable	0.1200
2025-11-30T00:00:00	Stable	0.0900
2025-11-30T00:00:00	Conservative	0.0000
